,Celula,Area,N,Deformación,Tracción,Suero,Linea
0,1,6.610803654927554e-10,361.0,2.7397928154559356e-05,50923.56377944661,CS,MCF10
1,4,9.461787936496384e-10,405.0,3.5219350045781514e-05,75274.83943328005,CS,MCF10
2,5,1.100413278346434e-09,469.0,5.105784632500408e-05,81888.2343873172,CS,MCF10
3,6,1.4825370735479273e-09,596.0,0.0001401920275395191,198174.9560119924,CS,MCF10
4,7,7.544304503524614e-10,311.0,2.8196014214655883e-05,62565.15402837751,CS,MCF10
5,8,1.872118019991174e-09,637.0,0.00010473451059602032,149237.28593592905,CS,MCF10
6,9,1.9530260031011016e-09,709.0,0.0001592105558670255,260243.52983060584,CS,MCF10
7,11,1.5894258913642823e-09,716.0,6.357363575393844e-05,96586.93222478796,CS,MCF10
8,12,1.862088021084252e-09,696.0,0.00013589647059703176,188621.04565576068,CS,MCF10
9,13,7.42285366042515e-10,391.0,2.9206790550173275e-05,51590.76702349624,CS,MCF10
10,20,1.695262115955289e-09,581.0,0.00012143570303860638,181888.464747062,CS,MCF10
11,22,3.0656152929700316e-09,941.0,0.0006393119448798482,887592.1316627341,CS,MCF10
12,25,2.19282495779506e-09,698.0,0.000360882042112802,580316.8151503747,CS,MCF10
13,14,1.5021112591039193e-09,592.0,0.0001127842447397289,177340.8783720388,SS,MCF10
14,15,7.511823455825497e-10,419.0,4.7954202827559864e-05,74252.63803294586,SS,MCF10
15,17,1.4237942747025411e-09,679.0,8.251756444457032e-05,149315.2087951259,SS,MCF10
16,18,1.2923516956872016e-09,496.0,5.769382510870351e-05,93470.96461582766,SS,MCF10
17,26,2.7103162232955073e-09,934.0,0.00013145670979427062,204916.27548536012,SS,MCF10
18,27,1.8948095008683893e-09,668.0,0.0001499864409739598,245206.53518466145,SS,MCF10
19,28,1.1717184394090903e-09,504.0,4.022759330005758e-05,80467.3686904216,SS,MCF10
20,29,1.6747264269722965e-09,582.0,0.00010230672055498563,188579.02904829907,SS,MCF10
21,"(11, 3)",6.668712476063626e-10,418.0,5.544695780263312e-05,86596.1076123498,CS,MCF7
22,"(11, 4)",1.1590120198049465e-09,504.0,0.00010410790189098172,181564.08366407768,CS,MCF7
23,"(10, 1)",7.339198166868415e-10,422.0,1.8915176476931353e-05,38449.71609680337,CS,MCF7
24,"(10, 2)",1.0341064495625666e-09,465.0,4.6173977878539055e-05,65783.02312834702,CS,MCF7
25,"(10, 5)",1.0736718563706093e-09,503.0,9.926025901680052e-05,132189.57889402081,CS,MCF7
26,"(9, 1)",5.062028778978365e-10,341.0,1.8353049866867768e-05,30154.49297727161,CS,MCF7
27,"(1, 1)",1.0001726774836622e-09,503.0,7.763821484478736e-05,115104.9250394789,CS,MCF7
28,"(8, 2)",3.7669886916645504e-10,325.0,7.924813777113516e-06,16634.39820892915,SS,MCF7
29,"(8, 3)",6.263968178386351e-10,392.0,1.8093107440124564e-05,26152.88191595683,SS,MCF7
30,"(7, 1)",7.769368727455276e-10,558.0,3.4178434311808676e-06,16955.861791021533,SS,MCF7
31,"(7, 2)",9.304341137367465e-10,492.0,3.440469301787183e-05,47810.99591907079,SS,MCF7
32,"(6, 2)",1.5971988874899294e-09,699.0,2.451832689257237e-05,33916.62494276335,SS,MCF7
33,"(6, 3)",4.86945819787943e-10,343.0,7.609917587698145e-06,17177.643884495214,SS,MCF7
34,"(6, 4)",6.517936143577315e-10,408.0,1.0625035670230591e-05,20110.365131194398,SS,MCF7
35,"(5, 4)",6.989848772941697e-10,447.0,7.053976031898353e-06,16667.51973971742,SS,MCF7
36,"(4, 1)",5.800533583796543e-10,477.0,1.8057200387289166e-05,27980.860534675536,SS,MCF7
37,"(3, 3)",1.0621790209173666e-09,473.0,1.031287941847219e-05,22380.050509406585,SS,MCF7
